Word,Brief Definition,Long Definition,Synonyms,Antonyms,Video Url,Video Title,Context Paragraph
Abandon,Freedom from staying in control.,"The idea here is that, when one acts with abandon, one is no longer personally in control, but one’s rational mind is towards or at the control of something else.","arbitrary, ardor, decadent, exuberance, hyperbole, insouciance, profligate, rapturous, unbridled, unconscionable, volatile, wanton","comport, deportment, irreproachable, politic, probity, propriety, punctilious, scrupulous, statutory",https://cdn0.membean.com/video/examplevids/abandon.mp4,Flight of the ConchordsDancing with complete abandon.," Walking barefoot in the rain seemed like an act of carefree abandon after studying in the library all day.  With uncharacteristic abandon , Serena swung her sandals in her hand as she walked through puddles and allowed the rain to wash over her.  Acting with such abandon was unlike her on a normal, working day, and she enjoyed the rare sense of freedom it brought."
Abase,To do something which dishonors you.,"To abase oneself is to move “to” a “lower” rank, or have someone else move you “towards” a “shorter” or “lower” status socially.","abject, decry, defile, denigrate, deprecate, derision, diffident, diminution, disparage, obsequious, pejorative, pillory, servile, subservient, taint, vilify, vitiate","adulation, aggrandize, canonize, deify, encomium, eulogy, extol, laudatory, lionize, unsullied",https://cdn0.membean.com/video/examplevids/abase.mp4,Gone with the WindRhett accuses Scarlett of abasing herself by doing anything for money.," Did Billy abase himself by working long hours at a job that did not use his talents?  While he earned money to live on, Billy was bored, miserable, and abased as he completed small tasks that were well beneath his ability.  To make matters worse, he was treated with rudeness often abased by others’ cruel words.  He wondered if the abasement of not honoring his skills was temporary or permanent."
Abash,To feel humiliated by another.,To be abashed is to “thoroughly stand amazed” or “thoroughly gape” at the criticisms that another inflicts upon you.,"bedevil, beset, daunt, diffident, discomfit, disconcert, disquiet, nonplussed, quandary, skittish, timorous, tremulous","aplomb, audacious, brazen, complacent, equanimity, imperturbable, impervious, nonchalant, steadfast, stoic, unfazed",https://cdn0.membean.com/video/examplevids/abash.mp4,," Rob was abashed or blushed in shame when the teacher sneered at his work and continued, despite his sincere apology, to list everything that he had done wrong.  He was abashed or embarrassed even more when the teacher actually started to yell directly at him in front of the class!  Rob was so abashed or uncomfortable that he began to sink lower and lower into his chair, and he wished that he was anywhere else but there so he could nurse his bruised ego."
Abate,To become less intense.,"The idea here is of a “beating towards” or “pounding towards” the ground; thus, when something is “beaten” or “pounded” down, it abates or is lessened, although it doesn’t completely go away immediately.","abolish, allay, attenuate, attrition, curtail, diminution, extenuate, extirpate, mitigate, mollify, plummet, quell, wane","addendum, beset, copious, duress, engender, exhort, exuberance, foment, luxuriant, precipitate, prodigal, profusion, rife, unremitting",https://cdn0.membean.com/video/examplevids/abate.mp4,Stargate SG-1He is unable to abate the generator overload to save the ship.," The stunt double wished urgently that the pain in his shoulder would abate or lessen.  During a bold stunt, the actor landed on the other side of the window and bashed his shoulder, causing a sharp pain that would not abate or improve.  The nurse quickly examined and cared for the injury.  In a few moments the pain did abate or become less pronounced, and the work could once again continue, as strong as ever."
Abdicate,To give up power or responsibility and transfer to someone else.,To “abdicate” one “proclaims” that one is “away from” a given responsibility.,"abjure, abnegation, capitulate, cede, devolve, jettison, recant","arrogate, expropriate, retrench, subjugate, usurp",https://cdn0.membean.com/video/examplevids/abdicate.mp4,Superman 2He abdicates his authority to General Zod.," The king was tired of ruling and felt that it was time for him to abdicate the throne, allowing his son to become king.  The prince believed his father should remain in power and should not abdicate until he was older.  The king reconsidered, and decided that while he was weary of his position, it wouldn’t be right to abdicate or surrender his responsibility when the citizens still needed him."
Aberrant,It describes something that is unusual and unacceptable.,"When one displays aberrant behavior, one “wanders away from” what is considered socially acceptable, thus “making a mistake” in society’s view.","anomaly, awry, bohemian, capricious, disparate, eccentric, errant, heterodox, idiosyncratic, reprobate, unseemly, vagary, whimsical","apposite, condign, decorous, deportment, probity, propriety, punctilious",https://cdn0.membean.com/video/examplevids/aberrant.mp4,PortlandiaThis is highly aberrant behavior for salespeople trying to sell customers books!," Despite family plans that she should be a doctor, Marie chose to live a more unusual, aberrant life painting portraits on the sidewalks of Paris.  While her fellow artists considered her to be a worthy member of their circle, her family cast her out as the aberrant “black sheep.”  Her parents could not bear the aberration of Marie’s socially improper actions and no longer considered her their daughter."
Abet,To assist them in committing a crime.,"If you abet someone in committing a crime, you lead him “towards” the “bait,” thereby urging or encouraging him to commit that crime through your aid, just as a fish is encouraged to take the bait on a hook.","advocate, buttress, condone, countenance, emissary, espouse, exhort, exponent, foment, surrogate","abolish, abrogate, annulment, apathy, autonomous, curtail, decry, defile, denigrate, deprecate, derision, disparage, expunge, extirpate, irrevocable, nonpartisan, recant, renege, rescind",https://cdn0.membean.com/video/examplevids/abet.mp4,PsychSean is accused of aiding and abetting dangerous operatives.," Zigfried didn’t mean to abet the burglars, but he’d accidentally left the door unlocked, making their entrance all too easy.  Aiding and abetting a criminal is itself a crime, but in this case the help Zigfried gave them was unintentional.  He argued in his own defense that no one should accuse him of abetting or assisting the robbers since his own possessions were also stolen."
Abeyance,It is held in an inactive state temporarily.,"When one is in a “state or condition” of “standing amazed” or “gaping at” or “towards” something, one is not acting, but rather one halts for the time being.","entropy, hiatus, languid, lassitude, latent, moratorium, quiescence, respite, sedentary, stasis, torpor","assiduous, efficacy, pandemonium, punctilious, sedulous",https://cdn0.membean.com/video/examplevids/abeyance.mp4,," After my grandfather died, his estate was held in abeyance while lawyers tried to determine who was to inherit it.  Often we keep a problem in abeyance , or put a temporary hold on solving it, while we gather all the facts.  My brother’s own plans for future investments fell into abeyance while he awaited news regarding our grandfather’s will."
Abhor,To strongly dislike someone’s poor choices.,"When one abhors another’s conduct, one “trembles” over or “dreads” it and therefore shrinks “away” from it, or “shudders from” such horrible behavior.","abominate, antipathy, denigrate, despicable, diabolical, heinous, invidious, noisome, noxious, odious, repugnance","affable, benign, coddle, comely, concordant, cosset, desiderata, euphemism, felicity, winsome",https://cdn0.membean.com/video/examplevids/abhor.mp4,30 RockJack abhors the Fabian military strategy.," More than anything, Gabriel abhorred the telling of lies since he highly valued honesty.  Gabriel listened to his brother with abhorrence while speaking with him on his cell phone, knowing that every word he said was false.  Gabriel promised himself, however, that he would not abhor or hate his brother for deceit, but only dislike extremely his practice of hiding the truth."
Abject,It is a way to describe a horrible situation.,"When one is “thrown from” or “thrown away” from one’s normal emotional state, one becomes “abject.”","abase, abominate, abysmal, depravity, deprecate, desecrate, despicable, despondent, flagrant, hapless, nettle, odious, squalor, stultify, taint, vexing, vitiate, vitriolic","ameliorate, apposite, blithe, buoyant, complaisant, condign, decorous, extol, impassive, lionize, mitigate, mollify, nonchalant, pristine, requisite, unsullied, venerable",https://cdn0.membean.com/video/examplevids/abject.mp4,Duck SoupThe man being questioned is an abject figure.," As Alicia stood center stage and tried to overcome her stage fright, she hung her head in abject , hopeless humiliation.  The abject , miserable fear twisted her belly into knots and prevented her from speaking.  On the front row of the audience, her mother sat frozen in abject , extreme horror as her daughter’s worst fear played out on stage."
Abjure,To reject a former belief in public.,To “abjure” is to “swear away” or “take an oath from” an established belief.,"abdicate, abnegation, abolish, annulment, cede, contravene, gainsay, rebuff, recant, renege, repudiate, rescind","acclimate, advocate, beget, engender, immutable, incorrigible, ineluctable, inexorable, irrefutable, irrevocable, monolith, unremitting, usurp",https://cdn0.membean.com/video/examplevids/abjure.mp4,," Nancy is a pacifist and therefore abjures or swears off violence of any kind.  Her husband used to support the President’s stance on military defense, but now he abjures the war as well because he thinks it unjust.  In fact, he has even abjured or given up his life-long political allegiance, calling it misdirected."
Ablation,The cutting away of an abnormal growth in the body.,"Ablation, in the case of surgery, is the “act or state” of something being “carried away” or “borne from” a patient’s body.","abrasive, attrition, cull, dissolution, efface, excise, expurgate, extirpate, extricate, pare, shard, truncate","accretion, addendum, adherent, adjunct, agglomerate, aggregate, amalgamate, augment, coagulate, coalesce, congeal",https://cdn0.membean.com/video/examplevids/ablation.mp4,Glacier in CrisisThis glacier is undergoing ablation faster than scientists had realized.," My surgeon told me that I would need to undergo an ablation to remove a tumor which he had found on my lung.  I could opt for a non-invasive ablation , which would eliminate the tumor without having to cut into my body.  I could also choose the surgical cutting out or physical ablation , in which the surgeon would open my chest cavity to have the tumor extracted."
Ablution,"The washing of your body, sometimes for religious significance.",Ablution is the act of washing away dirt from your body.,"catharsis, dapper, debonair, fastidious, luminous, meticulous, punctilious, purgative, salubrious, salutary, scintillating, unsullied","decrepitude, derelict, dilapidated, fetid, noisome, noxious, slovenly, squalor, uncouth, unkempt",https://cdn0.membean.com/video/examplevids/ablution.mp4,"PsychoThis ablution is nice, at least for a short time."," Annabelle’s morning ablutions were an involved practice, including scrubbing her face, teeth, hands, and feet.  In completing this  series of ablutions , Annabelle used a linen cloth, her tooth brush and toothpaste, hot water, and hand-made rose soap.  Such comforting ablutions began her day with ease, relaxation, and bodily cleanliness.  She felt purified by these ablutions at the start of each day."
Abnegation,The giving up of something important.,"Abnegation is the “state or condition” of having “denied or said no” to something, thus taking it “away or from” you.","abdicate, abjure, abolish, abstemious, abstinence, annulment, attenuate, austere, cede, curtail, frugal, gainsay, privation, rebuff, recant, renege, repudiate, rescind, teetotaler, truncate","accede, acquiesce, advocate, arrogate, assimilate, beget, countenance, engender, expropriate, immutable, irrefutable, irrevocable, monolith, retrench, unremitting, usurp",https://cdn0.membean.com/video/examplevids/abnegation.mp4,Beverly Hills 90210Adrianna abnegating her child to adopting parents was the hardest thing she ever did.," When Abigail broke up with her boyfriend, her rejection or abnegation of their relationship hurt them both.  Giving up or abnegating the bond between them would be best over time, since she was traveling abroad for a year alone.  Abigail found that the sights and sounds of travel eased the painful abnegation of setting aside her love life."
Abolish,You are officially ending it.,To abolish is to “destroy” or “get rid of” something.,"abate, abnegation, abrogate, annulment, dissolution, expunge, extirpate, liquidate, recant, renege, repudiate, rescind","addendum, augment, corroborate, crescendo, engender, ensconce, gestation, ineluctable, irrevocable, statutory, unremitting",https://cdn0.membean.com/video/examplevids/abolish.mp4,Back to the Future 2Lawyers have been abolished in the future.," To abolish or end the cruel business of slavery in the United States, President Lincoln issued the Emancipation Proclamation, a document declaring slavery illegal.  By abolishing or doing away with the selling of human beings, Lincoln became a famous figure during his own lifetime and beyond.  In abolishing or putting an end to the long-standing slave trade, Lincoln made himself politically open to attack since slave owners were not supportive of this law."
Abominate,To despise something that is not acceptable.,"The idea here is of an unfavorable omen or bad sign about the future; when the omen is away or prophetic sign is from what one wishes, one strongly dislikes what it predicts, thus one abominates it.","abhor, anathema, aspersion, besmirch, calumny, defile, denigrate, depravity, deprecate, despicable, disparage, egregious, heinous, malign, nefarious, noisome, odious, revile, vilify","accede, acquiesce, adulation, advocate, benign, coddle, corroborate, cosset, countenance, decorous, encomium, eulogy, fawn, innocuous, lionize, panegyric, salubrious, salutary",https://cdn0.membean.com/video/examplevids/abominate.mp4,The SimpsonsLisa is appalled by this abomination.," As a schoolteacher and school dean, Bruce abominated the unjust actions of bullies.  Their cruelty and manipulation of those weaker than themselves were an abomination in a place of learning, where students should feel safe and comfortable.  Bruce abominated the way in which the bullies ganged up on selected victims and behaved in extremely mean and abominable ways."
